Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,50,32,0.61,99,24
E,AT,Boston Celtics,47,35,0.573,96,9
E,AT,Philadelphia 76ers,42,40,0.512,76,0
E,AT,Brooklyn Nets,38,44,0.463,37,0
E,AT,New York Knicks,36,46,0.439,25,0
E,CE,Milwaukee Bucks,52,30,0.634,99,49
E,CE,Indiana Pacers,47,35,0.573,97,10
E,CE,Detroit Pistons,40,42,0.488,64,0
E,CE,Chicago Bulls,34,48,0.415,11,0
E,CE,Cleveland Cavaliers,32,50,0.39,5,0
E,SE,Charlotte Hornets,44,38,0.537,90,3
E,SE,Miami Heat,42,40,0.512,73,1
E,SE,Orlando Magic,33,49,0.402,8,0
E,SE,Washington Wizards,33,49,0.402,8,0
E,SE,Atlanta Hawks,32,50,0.39,5,0
W,NW,Denver Nuggets,50,32,0.61,97,25
W,NW,Portland Trail Blazers,48,34,0.585,93,14
W,NW,Utah Jazz,45,37,0.549,81,4
W,NW,Minnesota Timberwolves,39,43,0.476,25,0
W,NW,Oklahoma City Thunder,39,43,0.476,28,0
W,PA,Golden State Warriors,52,30,0.634,98,43
W,PA,Sacramento Kings,45,37,0.549,78,3
W,PA,Los Angeles Clippers,43,39,0.524,63,1
W,PA,Los Angeles Lakers,40,42,0.488,33,0
W,PA,Phoenix Suns,30,52,0.366,0,0
W,SW,Memphis Grizzlies,45,37,0.549,76,3
W,SW,San Antonio Spurs,44,38,0.537,67,2
W,SW,New Orleans Pelicans,41,41,0.5,46,0
W,SW,Dallas Mavericks,35,47,0.427,7,0
W,SW,Houston Rockets,32,50,0.39,1,0
