Team,Abbrev,League,Division,Category,Westgate,Bodog,FanGraphs,BaseballPro
Cleveland,CLE,AL,Central,Wins,95.5,94.5,94,96
Minnesota,MIN,AL,Central,Wins,82.5,82.5,81,81
Detroit,DET,AL,Central,Wins,67.5,68.5,70,68
Kansas City,KAN,AL,Central,Wins,67.5,71.5,71,66
Chi White Sox,CHW,AL,Central,Wins,71.5,68,66,71
NY Yankees,NYY,AL,East,Wins,94.5,94.5,95,97
Boston,BOS,AL,East,Wins,92.5,91.5,93,88
Toronto,TOR,AL,East,Wins,81.5,81,86,80
Tampa Bay,TAM,AL,East,Wins,73.5,77.5,78,83
Baltimore,BAL,AL,East,Wins,71.5,73,78,71
Houston,HOU,AL,West,Wins,96.5,96.5,100,99
LA Angels,LAA,AL,West,Wins,84.5,84.5,84,79
Seattle,SEA,AL,West,Wins,81.5,81.5,80,82
Texas,TEX,AL,West,Wins,76.5,77.5,79,75
Oakland,OAK,AL,West,Wins,75.5,74.5,80,76
Chi Cubs,CHC,NL,Central,Wins,93.5,94.5,94,91
St. Louis,STL,NL,Central,Wins,86.5,85.5,85,85
Milwaukee,MIL,NL,Central,Wins,83.5,84.1,79,84
Pittsburgh,PIT,NL,Central,Wins,74.5,73,76,77
Cincinnati,CIN,NL,Central,Wins,73.5,73.5,71,74
Washington,WAS,NL,East,Wins,94.5,92.5,89,89
NY Mets,NYM,NL,East,Wins,81.5,81,82,80
Philadelphia,PHI,NL,East,Wins,77.5,75.5,76,81
Atlanta,ATL,NL,East,Wins,75.5,74.5,72,76
Miami,MIA,NL,East,Wins,64.5,64.5,64,65
LA Dodgers,LAD,NL,West,Wins,95.5,96.5,93,97
Arizona,ARI,NL,West,Wins,84.5,85.5,81,87
San Francisco,SFO,NL,West,Wins,82.5,81.5,81,82
Colorado,COL,NL,West,Wins,81.5,82,80,78
San Diego,SDO,NL,West,Wins,73.5,69.5,73,73
