Team,Wins,Losses
Atlanta Hawks,1,3
Boston Celtics,1,0
Brooklyn Nets,2,1
Charlotte Hornets,3,1
Cleveland Cavaliers,1,2
Denver Nuggets,1,0
Golden State Warriors,4,1
Indiana Pacers,3,0
Los Angeles Clippers,3,0
Memphis Grizzlies,1,1
Miami Heat,1,0
Milwaukee Bucks,4,0
New Orleans Pelicans,1,1
Oklahoma City Thunder,1,0
Philadelphia 76ers,1,1
Phoenix Suns,1,5
Portland Trail Blazers,1,0
Sacramento Kings,1,2
San Antonio Spurs,1,1
Toronto Raptors,1,0
Utah Jazz,1,0
Chicago Bulls,0,2
Dallas Mavericks,0,1
Detroit Pistons,0,1
Houston Rockets,0,1
Minnesota Timberwolves,0,2
New York Knicks,0,2
Orlando Magic,0,3
Washington Wizards,0,3
