Player,Season,Tm,G,FGM,FGA,FGX,3PM,3PA,3PX,Astd
Trae Young,2018-19,ATL,1,0,1,1,0,0,0,0
Kyrie Irving,2018-19,BOS,1,0,1,1,0,1,1,0
Marcus Morris,2018-19,BOS,1,1,1,0,1,1,0,1
Gordon Hayward,2018-19,BOS,1,0,1,1,0,1,1,0
Caris LeVert,2018-19,BRK,2,2,2,0,0,0,0,0
Joe Harris,2018-19,BRK,1,0,1,1,0,1,1,0
Spencer Dinwiddie,2018-19,BRK,1,1,1,0,1,1,0,0
Justin Holiday,2018-19,CHI,2,0,2,2,0,1,1,0
Zach LaVine,2018-19,CHI,3,0,3,3,0,0,0,0
Antonio Blakeney,2018-19,CHI,1,0,1,1,0,0,0,0
Jabari Parker,2018-19,CHI,1,0,1,1,0,1,1,0
Miles Bridges,2018-19,CHO,1,0,1,1,0,1,1,0
Malik Monk,2018-19,CHO,1,0,1,1,0,1,1,0
Kemba Walker,2018-19,CHO,3,0,3,3,0,1,1,0
Nicolas Batum,2018-19,CHO,1,0,1,1,0,1,1,0
Collin Sexton,2018-19,CLE,1,0,2,2,0,0,0,0
George Hill,2018-19,CLE,1,0,1,1,0,0,0,0
J.J. Barea,2018-19,DAL,1,0,1,1,0,1,1,0
Dennis Smith,2018-19,DAL,1,1,1,0,0,0,0,0
Luka Doncic,2018-19,DAL,1,1,1,0,0,0,0,0
Jamal Murray,2018-19,DEN,1,0,1,1,0,0,0,0
Malik Beasley,2018-19,DEN,1,0,1,1,0,1,1,0
Nikola Jokic,2018-19,DEN,2,0,2,2,0,1,1,0
Paul Millsap,2018-19,DEN,1,1,1,0,0,0,0,0
Reggie Jackson,2018-19,DET,2,0,2,2,0,0,0,0
Ish Smith,2018-19,DET,1,1,1,0,0,0,0,0
Reggie Bullock,2018-19,DET,1,1,1,0,0,0,0,1
Andre Drummond,2018-19,DET,1,1,1,0,0,0,0,0
Glenn Robinson,2018-19,DET,2,0,2,2,0,1,1,0
Blake Griffin,2018-19,DET,2,1,2,1,0,0,0,0
Klay Thompson,2018-19,GSW,1,0,1,1,0,0,0,0
Kevin Durant,2018-19,GSW,1,0,1,1,0,0,0,0
Damian Jones,2018-19,GSW,1,0,1,1,0,0,0,0
Jonas Jerebko,2018-19,GSW,1,1,1,0,0,0,0,0
Victor Oladipo,2018-19,IND,2,1,2,1,1,2,1,0
Danilo Gallinari,2018-19,LAC,1,0,1,1,0,0,0,0
Lou Williams,2018-19,LAC,2,1,2,1,0,0,0,0
LeBron James,2018-19,LAL,2,1,3,2,1,3,2,0
Mike Conley,2018-19,MEM,1,0,1,1,0,1,1,0
Marc Gasol,2018-19,MEM,1,0,1,1,0,0,0,0
Kelly Olynyk,2018-19,MIA,1,1,1,0,0,0,0,0
Rodney McGruder,2018-19,MIA,1,0,1,1,0,1,1,0
Dwyane Wade,2018-19,MIA,1,0,1,1,0,0,0,0
Eric Bledsoe,2018-19,MIL,1,1,1,0,1,1,0,0
Khris Middleton,2018-19,MIL,1,0,1,1,0,1,1,0
Derrick Rose,2018-19,MIN,1,0,1,1,0,1,1,0
Jrue Holiday,2018-19,NOP,1,1,1,0,0,0,0,0
Allonzo Trier,2018-19,NYK,1,0,2,2,0,0,0,0
Emmanuel Mudiay,2018-19,NYK,1,1,1,0,0,0,0,0
Enes Kanter,2018-19,NYK,1,0,1,1,0,1,1,0
Mario Hezonja,2018-19,NYK,1,0,1,1,0,0,0,0
Tim Hardaway,2018-19,NYK,1,0,1,1,0,1,1,0
Evan Fournier,2018-19,ORL,2,2,2,0,0,0,0,1
Terrence Ross,2018-19,ORL,2,1,2,1,1,2,1,0
Nikola Vucevic,2018-19,ORL,1,0,1,1,0,1,1,0
Jimmy Butler,2018-19,PHI,1,1,2,1,1,1,0,0
Dario Saric,2018-19,PHI,1,0,1,1,0,1,1,0
Joel Embiid,2018-19,PHI,1,0,1,1,0,1,1,0
J.J. Redick,2018-19,PHI,2,1,2,1,1,2,1,1
Devin Booker,2018-19,PHO,2,1,2,1,0,1,1,0
Damian Lillard,2018-19,POR,1,0,2,2,0,0,0,0
Jusuf Nurkic,2018-19,POR,1,0,1,1,0,0,0,0
Patty Mills,2018-19,SAS,1,1,1,0,0,0,0,1
DeMar DeRozan,2018-19,SAS,2,0,2,2,0,1,1,0
Danny Green,2018-19,TOR,1,1,1,0,0,0,0,1
Kawhi Leonard,2018-19,TOR,1,0,1,1,0,0,0,0
Joe Ingles,2018-19,UTA,1,0,1,1,0,1,1,0
Dante Exum,2018-19,UTA,1,0,1,1,0,1,1,0
Donovan Mitchell,2018-19,UTA,1,0,1,1,0,1,1,0
Bradley Beal,2018-19,WAS,1,1,1,0,1,1,0,1
Bradley Beal,2017-18,WAS,8,1,10,9,0,3,3,1
Jodie Meeks,2017-18,WAS,2,1,2,1,1,2,1,1
Marcin Gortat,2017-18,WAS,1,0,1,1,0,0,0,0
Mike Scott,2017-18,WAS,1,0,1,1,0,1,1,0
Markieff Morris,2017-18,WAS,1,0,1,1,0,1,1,0
John Wall,2017-18,WAS,4,0,4,4,0,2,2,0
Joe Ingles,2017-18,UTA,2,1,2,1,0,1,1,1
Joe Johnson,2017-18,UTA,1,0,1,1,0,1,1,0
Derrick Favors,2017-18,UTA,1,0,1,1,0,0,0,0
Rudy Gobert,2017-18,UTA,1,0,2,2,0,0,0,0
Ricky Rubio,2017-18,UTA,1,1,1,0,1,1,0,1
Donovan Mitchell,2017-18,UTA,5,1,5,4,1,3,2,0
Blake Griffin,2017-18,LAC,4,2,4,2,1,1,0,0
Blake Griffin,2017-18,DET,2,2,4,2,0,1,1,1
Dwyane Wade,2017-18,CLE,1,0,1,1,0,0,0,0
Dwyane Wade,2017-18,MIA,5,1,6,5,0,1,1,1
Fred VanVleet,2017-18,TOR,2,1,2,1,0,1,1,1
Jonas Valanciunas,2017-18,TOR,1,1,1,0,0,0,0,1
Serge Ibaka,2017-18,TOR,1,0,1,1,0,0,0,0
Jakob Poeltl,2017-18,TOR,1,1,1,0,0,0,0,0
DeMar DeRozan,2017-18,TOR,9,2,11,9,0,3,3,0
Kyle Lowry,2017-18,TOR,1,0,1,1,0,1,1,0
Delon Wright,2017-18,TOR,1,0,1,1,0,1,1,0
Patty Mills,2017-18,SAS,2,0,2,2,0,1,1,0
Danny Green,2017-18,SAS,1,0,1,1,0,1,1,0
Bryn Forbes,2017-18,SAS,1,0,1,1,0,1,1,0
Dejounte Murray,2017-18,SAS,1,0,1,1,0,1,1,0
Manu Ginobili,2017-18,SAS,3,2,3,1,1,2,1,0
Brandon Paul,2017-18,SAS,1,0,1,1,0,1,1,0
Rudy Gay,2017-18,SAS,1,0,1,1,0,1,1,0
LaMarcus Aldridge,2017-18,SAS,2,0,2,2,0,0,0,0
Zach Randolph,2017-18,SAC,2,0,2,2,0,0,0,0
De'Aaron Fox,2017-18,SAC,3,3,4,1,0,0,0,1
Skal Labissiere,2017-18,SAC,1,1,1,0,1,1,0,1
Justin Jackson,2017-18,SAC,2,1,2,1,0,1,1,0
Garrett Temple,2017-18,SAC,2,0,2,2,0,1,1,0
Buddy Hield,2017-18,SAC,1,0,1,1,0,0,0,0
Vince Carter,2017-18,SAC,1,0,1,1,0,1,1,0
Bogdan Bogdanovic,2017-18,SAC,4,1,4,3,0,2,2,0
Damian Lillard,2017-18,POR,8,3,8,5,1,3,2,0
Jusuf Nurkic,2017-18,POR,1,0,1,1,0,0,0,0
Pat Connaughton,2017-18,POR,1,1,1,0,0,0,0,0
CJ McCollum,2017-18,POR,6,1,7,6,0,2,2,0
Jared Dudley,2017-18,PHO,1,0,1,1,0,1,1,0
Mike James,2017-18,PHO,1,0,1,1,0,1,1,0
T.J. Warren,2017-18,PHO,1,0,1,1,0,0,0,0
Marquese Chriss,2017-18,PHO,1,0,1,1,0,0,0,0
