Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,50,32,0.61,99,34
E,AT,Boston Celtics,44,38,0.537,85,2
E,AT,Philadelphia 76ers,44,38,0.537,88,2
E,AT,Brooklyn Nets,39,43,0.476,46,0
E,AT,New York Knicks,33,49,0.402,5,0
E,CE,Milwaukee Bucks,51,31,0.622,99,45
E,CE,Indiana Pacers,47,35,0.573,96,10
E,CE,Detroit Pistons,42,40,0.512,74,1
E,CE,Chicago Bulls,31,51,0.378,2,0
E,CE,Cleveland Cavaliers,30,52,0.366,1,0
E,SE,Charlotte Hornets,44,38,0.537,86,2
E,SE,Orlando Magic,40,42,0.488,58,0
E,SE,Miami Heat,38,44,0.463,39,0
E,SE,Washington Wizards,35,47,0.427,13,0
E,SE,Atlanta Hawks,30,52,0.366,1,0
W,NW,Portland Trail Blazers,48,34,0.585,91,23
W,NW,Denver Nuggets,46,36,0.561,81,10
W,NW,Oklahoma City Thunder,46,36,0.561,80,10
W,NW,Utah Jazz,39,43,0.476,24,0
W,NW,Minnesota Timberwolves,37,45,0.451,9,0
W,PA,Golden State Warriors,47,35,0.573,88,18
W,PA,Los Angeles Clippers,47,35,0.573,87,15
W,PA,Los Angeles Lakers,43,39,0.524,55,2
W,PA,Sacramento Kings,40,42,0.488,32,0
W,PA,Phoenix Suns,30,52,0.366,0,0
W,SW,Memphis Grizzlies,45,37,0.549,80,10
W,SW,New Orleans Pelicans,44,38,0.537,67,4
W,SW,Houston Rockets,41,41,0.5,41,1
W,SW,Dallas Mavericks,40,42,0.488,29,0
W,SW,San Antonio Spurs,40,42,0.488,31,0
