Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,53,29,0.646,99,56,2018-12-01
E,AT,Philadelphia 76ers,46,36,0.561,96,4,2018-12-01
E,AT,Boston Celtics,45,37,0.549,93,2,2018-12-01
E,AT,Brooklyn Nets,37,45,0.451,24,0,2018-12-01
E,AT,New York Knicks,33,49,0.402,7,0,2018-12-01
E,CE,Milwaukee Bucks,51,31,0.622,99,30,2018-12-01
E,CE,Indiana Pacers,45,37,0.549,94,3,2018-12-01
E,CE,Detroit Pistons,44,38,0.537,91,2,2018-12-01
E,CE,Chicago Bulls,30,52,0.366,1,0,2018-12-01
E,CE,Cleveland Cavaliers,30,52,0.366,1,0,2018-12-01
E,SE,Charlotte Hornets,43,39,0.524,86,1,2018-12-01
E,SE,Orlando Magic,39,43,0.476,54,0,2018-12-01
E,SE,Miami Heat,37,45,0.451,31,0,2018-12-01
E,SE,Washington Wizards,35,47,0.427,16,0,2018-12-01
E,SE,Atlanta Hawks,30,52,0.366,0,0,2018-12-01
W,NW,Denver Nuggets,49,33,0.598,96,29,2018-12-01
W,NW,Oklahoma City Thunder,48,34,0.585,92,19,2018-12-01
W,NW,Portland Trail Blazers,44,38,0.537,70,3,2018-12-01
W,NW,Minnesota Timberwolves,40,42,0.488,36,0,2018-12-01
W,NW,Utah Jazz,40,42,0.488,27,0,2018-12-01
W,PA,Los Angeles Clippers,48,34,0.585,94,23,2018-12-01
W,PA,Golden State Warriors,47,35,0.573,89,13,2018-12-01
W,PA,Los Angeles Lakers,43,39,0.524,62,2,2018-12-01
W,PA,Sacramento Kings,39,43,0.476,21,0,2018-12-01
W,PA,Phoenix Suns,29,53,0.354,0,0,2018-12-01
W,SW,Memphis Grizzlies,44,38,0.537,72,4,2018-12-01
W,SW,Dallas Mavericks,42,40,0.512,46,1,2018-12-01
W,SW,New Orleans Pelicans,41,41,0.5,40,0,2018-12-01
W,SW,Houston Rockets,40,42,0.488,33,0,2018-12-01
W,SW,San Antonio Spurs,38,44,0.463,15,0,2018-12-01
