Team,Wins.bank,Loss.bank,Wins.sim,Loss.sim,Talent,Wins.all,Loss.all
Atlanta Hawks,1,2,36.12,42.88,0.3900710403266506,37.12,44.88
Boston Celtics,2,1,42.25,36.75,0.5954116317721576,44.25,37.75
Brooklyn Nets,1,2,35.23,43.77,0.2810813652510177,36.23,45.77
Charlotte Hornets,2,1,45.54,33.46,0.8074983468264517,47.54,34.46
Chicago Bulls,0,2,34.82,45.18,0.21082044012567652,34.82,47.18
Cleveland Cavaliers,0,3,32.38,46.62,0.15119533000481344,32.38,49.62
Dallas Mavericks,1,1,35.04,44.96,0.2673558854685488,36.04,45.96
Denver Nuggets,3,0,47.22,31.78,0.8672460584088746,50.22,31.78
Detroit Pistons,2,0,41.25,38.75,0.583482418792234,43.25,38.75
Golden State Warriors,2,1,41.53,37.47,0.5783042615391091,43.53,38.47
Houston Rockets,1,2,37.34,41.66,0.3681341267406829,38.34,43.66
Indiana Pacers,2,1,45.68,33.32,0.8007643822953862,47.68,34.32
Los Angeles Clippers,2,1,41.78,37.22,0.6144787771381134,43.78,38.22
Los Angeles Lakers,0,2,35.48,44.52,0.25131514527558,35.48,46.52
Memphis Grizzlies,1,1,36.16,43.84,0.2822284662755548,37.16,44.84
Miami Heat,1,2,39.66,39.34,0.46631802734739086,40.66,41.34
Milwaukee Bucks,2,0,46.11,33.89,0.767630420557224,48.11,33.89
Minnesota Timberwolves,1,2,39.35,39.65,0.5,40.35,41.65
New Orleans Pelicans,2,0,47.87,32.13,0.9010897529834718,49.87,32.13
New York Knicks,1,2,42.16,36.84,0.6639651889539377,43.16,38.84
Oklahoma City Thunder,0,3,32.73,46.27,0.17277064137836662,32.73,49.27
Orlando Magic,1,2,32.9,46.1,0.2020784586865551,33.9,48.1
Philadelphia 76ers,2,1,39.28,39.72,0.5223711411677443,41.28,40.72
Phoenix Suns,1,1,37.03,42.97,0.38260385053347884,38.03,43.97
Portland Trail Blazers,2,0,45.9,34.1,0.7961766518543236,47.9,34.1
Sacramento Kings,1,2,37.45,41.55,0.3601495099754012,38.45,43.55
San Antonio Spurs,1,1,37.49,42.51,0.3564991816107909,38.49,43.51
Toronto Raptors,3,0,45.14,33.86,0.7760903442140449,48.14,33.86
Utah Jazz,1,1,41.99,38.01,0.5750473645854092,42.99,39.01
Washington Wizards,0,2,38.12,41.88,0.41976228843513563,38.12,43.88
