Rk,Season,Tm,Plyf,Lg,G,W,L,W/L%,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2018-19,WAS,,NBA,74,30,44,.405,43.3,90.6,31.1,57.8,12.2,32.8,18.2,23.4,11.5,35.7,47.2,26.2,7.8,4.5,15.9,21.4,116.9
2,2018-19,UTA,,NBA,73,43,30,.589,39.8,88.0,29.8,60.1,10.0,27.9,16.7,22.0,8.8,34.0,42.8,21.5,8.5,4.7,14.0,22.4,106.2
3,2018-19,TOR,*,NBA,73,51,22,.699,40.3,89.4,29.6,58.5,10.7,30.9,17.4,22.8,10.5,34.0,44.5,24.5,7.6,4.5,15.2,20.8,108.7
4,2018-19,SAS,,NBA,73,42,31,.575,41.6,89.7,29.7,57.1,11.9,32.6,15.3,20.3,9.2,34.8,44.1,24.7,7.1,4.2,12.3,19.9,110.3
5,2018-19,SAC,,NBA,72,36,36,.500,41.9,90.9,30.2,56.7,11.7,34.2,19.2,25.0,11.4,36.9,48.3,24.6,7.8,5.2,16.2,21.6,114.7
6,2018-19,POR,,NBA,72,45,27,.625,41.0,89.8,30.3,60.3,10.8,29.5,17.6,22.8,10.1,32.8,42.9,23.1,7.4,5.2,12.5,20.7,110.4
7,2018-19,PHO,,NBA,74,17,57,.230,42.1,87.8,31.2,57.9,10.9,29.9,20.8,27.6,11.6,35.2,46.9,25.9,9.1,5.0,15.9,20.7,116.0
8,2018-19,PHI,*,NBA,73,47,26,.644,41.5,91.6,31.3,61.5,10.2,30.1,18.9,24.4,10.2,33.3,43.5,23.1,8.0,4.0,13.0,22.5,112.0
9,2018-19,ORL,,NBA,73,35,38,.479,39.8,87.9,29.4,57.8,10.4,30.1,16.3,20.9,9.2,36.1,45.3,22.9,6.9,4.4,13.0,18.8,106.3
10,2018-19,OKC,,NBA,73,43,30,.589,40.8,88.8,29.9,58.0,10.9,30.8,18.6,24.5,10.1,35.8,46.0,24.8,8.4,5.2,17.0,22.8,111.1
11,2018-19,NYK,,NBA,73,14,59,.192,42.1,89.3,30.4,57.0,11.7,32.4,18.3,23.9,10.6,36.8,47.4,25.7,7.3,5.8,13.6,20.9,114.2
12,2018-19,NOP,,NBA,74,31,43,.419,43.1,92.4,31.1,59.1,12.0,33.3,18.1,23.8,10.9,34.7,45.6,26.5,8.3,5.4,13.7,21.3,116.1
13,2018-19,MIN,,NBA,73,33,40,.452,41.7,90.0,29.1,56.5,12.6,33.5,17.3,22.6,11.3,33.9,45.2,26.0,6.5,5.6,14.7,22.0,113.4
14,2018-19,MIL,*,NBA,73,54,19,.740,40.2,92.9,27.6,57.7,12.5,35.1,15.3,20.9,9.9,35.0,44.9,24.4,6.9,4.9,13.4,20.1,108.2
15,2018-19,MIA,,NBA,73,36,37,.493,38.3,86.3,26.6,53.8,11.8,32.6,17.5,22.9,10.1,33.5,43.6,23.1,7.4,4.9,14.1,20.4,105.9
16,2018-19,MEM,,NBA,73,29,44,.397,37.1,82.6,25.5,50.7,11.5,32.0,19.5,24.8,9.5,35.2,44.7,23.1,7.6,4.9,15.5,21.6,105.2
17,2018-19,LAL,,NBA,72,31,41,.431,42.1,93.0,30.3,59.4,11.8,33.6,17.8,22.7,11.4,35.7,47.1,24.9,8.3,5.2,14.3,21.3,114.0
18,2018-19,LAC,,NBA,73,43,30,.589,41.5,91.2,31.3,61.3,10.2,29.9,20.3,26.2,11.3,34.4,45.7,24.0,8.1,6.1,13.2,24.2,113.6
19,2018-19,IND,,NBA,73,44,29,.603,38.5,85.5,27.2,53.7,11.3,31.8,15.8,21.0,10.3,33.1,43.4,24.3,7.5,5.2,15.9,20.2,104.2
20,2018-19,HOU,,NBA,73,46,27,.630,40.5,86.2,30.4,56.4,10.2,29.8,18.7,24.2,10.9,34.2,45.1,23.5,7.5,4.6,15.1,20.5,110.0
21,2018-19,GSW,*,NBA,72,49,23,.681,40.5,90.6,28.7,56.9,11.8,33.7,18.8,24.4,10.6,33.7,44.3,24.2,7.4,3.7,13.6,20.1,111.6
22,2018-19,DET,,NBA,72,37,35,.514,40.0,84.8,30.3,56.8,9.7,28.0,18.2,24.2,8.9,34.5,43.3,23.5,7.0,5.2,14.0,21.6,107.9
23,2018-19,DEN,*,NBA,71,49,22,.690,39.4,86.0,28.4,53.8,11.0,32.3,17.1,22.7,9.5,32.3,41.7,24.7,7.5,5.0,13.6,20.6,106.8
24,2018-19,DAL,,NBA,73,29,44,.397,41.0,88.9,29.8,56.5,11.2,32.4,16.8,21.6,10.2,34.3,44.5,24.5,8.1,4.5,13.3,23.5,109.9
25,2018-19,CLE,,NBA,73,19,54,.260,42.7,87.3,31.1,56.1,11.7,31.2,16.2,21.0,9.9,34.6,44.5,25.4,6.9,5.5,12.5,19.6,113.3
